time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,,
1.64194,-0.010578276,-0.000216767,-0.003516224,-1.83946454,-3.949159923,-8.45E-01,-3.890986799,-0.8878952,0,-3.081034855,-3.699343322,-1.621988823,,,
1.6574,-0.010578605,-0.000216016,-0.001806607,-1.91136635,-3.948722849,-8.47E-01,-3.889897721,-0.8899013,0,-3.091065539,-3.652271558,-1.579997279,,,
1.67299,-0.010578845,-0.00020003,-0.000135455,-1.871669851,-3.939417654,-8.49E-01,-3.866205098,-0.8887035,0,-3.093129369,-3.597590731,-1.658351644,,,
1.68858,-0.010578963,-0.000180621,0.001508631,-1.759307821,-3.928119626,-8.51E-01,-3.836015767,-0.8866279,0,-3.087647536,-3.536317892,-1.760643776,,,
1.70377,-0.010578966,-0.000167565,0.002807948,-1.633650267,-3.920520012,-8.53E-01,-3.814712745,-0.8856916,0,-3.074639512,-3.469048629,-1.810601398,,,
1.71894,-0.010578881,-0.000165702,0.003165823,-1.515482258,-3.919435781,-8.55E-01,-3.811601652,-0.8869733,0,-3.054166751,-3.396295897,-1.782946632,,,
1.73517,-0.010578757,-0.000173884,0.002362248,-1.379785134,-3.924198517,-8.56E-01,-3.82513164,-0.8903438,0,-3.026475923,-3.318597825,-1.689773047,,,
1.75089,-0.010578649,-0.000185604,0.000915228,-1.186416117,-3.931020215,-8.58E-01,-3.843927113,-0.8945381,0,-2.991814179,-3.236389386,-1.550488465,,,
1.76648,-0.010578597,-0.000192634,-0.000227823,-0.90987162,-3.935112161,-8.60E-01,-3.854895445,-0.8978654,0,-2.950161105,-3.149819655,-1.370601383,,,
1.78177,-0.010578602,-0.000190382,-0.000333281,-0.548654097,-3.933801563,-8.62E-01,-3.851406313,-0.8993157,0,-2.90110058,-3.058667088,-1.139118434,,,
1.79737,-0.010578617,-0.000180524,0.000681588,-0.119389802,-3.928063149,-8.64E-01,-3.835860567,-0.8991477,0,-2.843888655,-2.96238517,-1.14095906,,,
1.81247,-0.010578565,-0.000168498,0.002284865,0.354822615,-3.921063474,-8.65E-01,-3.81626517,-0.8984266,0,-2.777651024,-2.860232182,-0.703091556,,,
1.82775,-0.010578371,-0.000158874,0.003690449,0.85701975,-3.915461269,-8.67E-01,-3.800033661,-0.8980892,0,-2.70160133,-2.751416785,-0.146228656,,,
1.84383,-0.010578012,-0.0001533,0.004218766,1.385960391,-3.912216793,-8.69E-01,-3.790391387,-0.8985056,0,-2.615174774,-2.635196542,0.462991969,,,
1.85954,-0.010577559,-0.000151909,0.003516383,1.957314333,-3.911407358,-8.70E-01,-3.787956691,-0.8997439,0,-2.518011487,-2.510891341,1.077065578,,,
1.87441,-0.010577152,-0.000154907,0.001685876,2.592495277,-3.913152502,-8.72E-01,-3.793191217,-0.9018891,0,-2.409803777,-2.377819817,1.682518081,,,
1.88944,-0.010576889,-0.000161576,-0.000683988,3.298821717,-3.91703417,-8.73E-01,-3.804642941,-0.9048342,0,-2.290116007,-2.235221792,2.295688876,,,
1.90444,-0.010576694,-0.000167494,-0.002685814,4.052970082,-3.920478644,-8.75E-01,-3.814594385,-0.9076883,0,-2.158327523,-2.082256364,2.946004774,,,
1.91952,-0.010576249,-0.000163088,-0.003459985,4.797402418,-3.91791421,-8.77E-01,-3.80720382,-0.9084357,0,-2.013784648,-1.918132346,2.947334338,,,
