time,q1,dq1,ddq1,q1_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,
1.6142,-0.003370425,-0.000271056,0.002501933,-2.176473867,-2.726874189,-0.3048786,-3.717844393,-0.1536623,0,-1.655797496,-1.72043409,-2.32528455,,
1.62963,-0.003373597,-0.000272262,0.00193962,-2.222710818,-2.728311407,-0.3130607,-3.720143859,-0.1566255,0,-1.695090889,-1.749504857,-2.26279615,,
1.64484,-0.003376896,-0.000278889,0.000905518,-2.286292971,-2.736207336,-0.3214333,-3.732672273,-0.1607388,0,-1.732837484,-1.776104349,-2.262812831,,
1.66093,-0.003380535,-0.000285991,-5.27E-05,-2.336973487,-2.744671121,-0.3300101,-3.745910395,-0.1650184,0,-1.769450643,-1.800603659,-2.248637197,,
1.67665,-0.0033845,-0.000291398,-0.000524931,-2.342107759,-2.751114024,-0.3387394,-3.755859445,-0.1690129,0,-1.805198471,-1.823298177,-2.250976887,,
1.69262,-0.00338865,-0.000296645,-0.000383342,-2.289066927,-2.757365529,-0.3476161,-3.765410228,-0.1730276,0,-1.840028655,-1.844290864,-2.257495606,,
1.70724,-0.003392876,-0.000303075,0.000216336,-2.194575009,-2.76502797,-0.356675,-3.776982571,-0.1773435,0,-1.87327368,-1.863462167,-2.258735464,,
1.72291,-0.003397164,-0.000308928,0.000993576,-2.088418079,-2.772002638,-0.3658982,-3.787391596,-0.1816024,0,-1.904364997,-1.88055418,-2.254203026,,
1.7386,-0.003401528,-0.000311175,0.001770673,-1.986554317,-2.77468033,-0.3751777,-3.791357001,-0.1851626,0,-1.932777902,-1.895297162,-2.229773746,,
1.75459,-0.003405914,-0.00030888,0.002548329,-1.883787644,-2.77194527,-0.3843778,-3.787306454,-0.1877914,0,-1.958115045,-1.907472629,-2.185126123,,
1.77034,-0.003410177,-0.000303485,0.003283724,-1.776073161,-2.76551702,-0.3934066,-3.777716258,-0.1897465,0,-1.980044634,-1.916890768,-2.123557882,,
1.78537,-0.003414154,-0.000296815,0.003600137,-1.685173174,-2.757568559,-0.4022269,-3.765718745,-0.1913798,0,-1.99826192,-1.923374446,-2.048439168,,
1.80077,-0.003417765,-0.000290064,0.002957568,-1.651127625,-2.749524416,-0.4108368,-3.753414892,-0.1929296,0,-2.012624584,-1.926842499,-1.965943933,,
1.8157,-0.003421062,-0.000283816,0.001359041,-1.695718832,-2.742078757,-0.419252,-3.741876298,-0.1945173,0,-2.023381868,-1.927453284,-1.887228421,,
1.83117,-0.003424201,-0.000277891,-0.000260576,-1.796257862,-2.735018574,-0.4274827,-3.73079725,-0.1961104,0,-2.03124808,-1.925662486,-1.826370631,,
1.84591,-0.003427353,-0.000272181,-0.000739907,-1.897591822,-2.728215064,-0.4355359,-3.719989901,-0.1976896,0,-2.037180481,-1.922103795,-1.793680481,,
1.86094,-0.00343064,-0.000268612,0.000151958,-1.948792872,-2.723961838,-0.4434752,-3.713166474,-0.199661,0,-2.041989328,-1.917357664,-1.790212187,,
1.87604,-0.003434113,-0.000271043,0.00152787,-1.930933546,-2.726858734,-0.4514783,-3.717819633,-0.2028567,0,-2.046042984,-1.91176118,-1.790051376,,
1.89149,-0.003437813,-0.000281645,0.002402713,-1.859344084,-2.739491663,-0.4597859,-3.737832362,-0.2077922,0,-2.049227689,-1.905360882,-1.805173421,,
1.90657,-0.0034418,-0.000297286,0.002671126,-1.768399641,-2.758129484,-0.4685456,-3.766570564,-0.2138917,0,-2.051130585,-1.898001356,-1.817765452,,
1.92187,-0.003446105,-0.000310164,0.00298174,-1.693298817,-2.773474996,-0.4776745,-3.789574107,-0.2195675,-0.054562031,-2.0513095,-1.889476633,-1.8182567,,
1.93661,-0.003450617,-0.000312896,0.003788572,-1.656254254,-2.776730377,-0.486873,-3.794381561,-0.2232416,-0.10912147,-2.049519068,-1.879668172,-1.803204783,,
1.95199,-0.003455079,-0.000304529,0.00464727,-1.658576242,-2.766760502,-0.495815,-3.779579149,-0.2246126,-0.171708256,-2.045814115,-1.868618557,-1.778729916,,
1.96734,-0.003459258,-0.000292774,0.004459868,-1.679596953,-2.75275311,-0.504402,-3.758373241,-0.2251886,-0.190188311,-2.040502365,-1.856518343,-1.752759388,,
1.98303,-0.003463133,-0.000289446,0.002457206,-1.685536843,-2.748787227,-0.512882,-3.752278985,-0.2274164,-0.212303264,-2.033966924,-1.843612355,-1.754576471,,
1.99801,-0.003466889,-0.000301147,-0.000960348,-1.649383223,-2.762730183,-0.5216952,-3.773527536,-0.2327665,-0.291748007,-2.026438841,-1.83006821,-1.731410798,,
2.013,-0.003470702,-0.000322819,-0.004328176,-1.57192401,-2.78855513,-0.531132,-3.811639219,-0.2403271,-0.317624041,-2.01785521,-1.815885097,-1.713187271,,
2.02844,-0.003474563,-0.000341007,-0.006137608,-1.485360315,-2.81022772,-0.5410884,-3.842474685,-0.2473727,-0.379453597,-2.007919814,-1.800915343,-1.685911375,,
