time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0,-0.785114,-0.000321154,0,0.0277737,-0.33431682,-0.000321154,-0.341847267,-0.000674417,0,-0.065375581,-0.000197818,0.128655009
0.002,-0.785114,-0.000544877,0,0.0277822,-0.334230233,-0.000865192,-0.342064075,-0.00117629,0,-0.024319966,-0.000191086,0.130671229
0.004,-0.785114,-0.000421344,0,0.150752,-0.334278044,-0.001284789,-0.341944802,-0.000971295,0,0.004104297,0.000159487,0.12129066
0.007,-0.785115,0.00135032,0,0.349136,0.333918504,7.39E-05,0.342815045,0.002707485,0,0.271638643,0.002275518,-0.124546528
0.009,-0.785116,0.001017,0,0.372973,0.334047508,0.0010905,0.342509882,0.002142021,0,0.285025682,0.004783329,-0.110986947
0.012,-0.785119,-8.06E-05,0,0.39669,-0.334409921,0.001009477,-0.341610163,-6.12E-05,0,0.048149648,0.00844731,0.144946432
0.014,-0.785116,0.000478353,0,0.373011,0.33425598,0.001485516,0.34199998,0.001104375,0,0.301300693,0.014695039,-0.021010816
0.016,-0.785114,0.00103544,0,0.349302,0.334040371,0.00251359,0.342526972,0.002321729,0,0.30611883,0.022187892,0.017128084
0.019,-0.785113,0.000107442,0,0.37322,0.334399533,0.00261974,0.341636824,0.000476856,0,0.309509518,0.029718989,0.064857594
0.021,-0.785113,0.00025244,0,0.373274,0.334343414,0.002869016,0.341779959,0.000791959,0,0.312058252,0.038844973,0.099932254
0.024,-0.785114,-0.0006562,0,0.397102,-0.334187148,0.002203764,-0.342170626,-0.001091337,0,0.072068654,0.048106255,0.293654037
0.026,-0.78511,0.00323983,0,0.349676,0.33318721,0.005409425,0.344395219,0.007022867,0,0.31567242,0.061097845,0.174818955
0.028,-0.785106,0.00237699,0,0.322069,0.333521154,0.007725064,0.343705197,0.005532827,0,0.316805281,0.071528932,0.200613742
0.03,-0.785101,0.00177495,0,0.298486,0.33375416,0.009434734,0.343192325,0.004505575,0,0.317501011,0.082246284,0.220646287
0.033,-0.785094,0.00155068,0,0.25114,0.333840959,0.010915872,0.342994666,0.004211381,0,0.317794792,0.09312062,0.226245758
0.035,-0.785094,-0.000200459,0,0.298778,-0.334363532,0.010704813,-0.341728819,0.000692733,0,0.081637177,0.102674157,0.358810719
0.037,-0.785086,0.00132452,0,0.223712,0.333928489,0.011962018,0.342791708,0.003871095,0,0.31748643,0.114088889,0.237031421
0.04,-0.785079,0.000962177,0,0.20021,0.334068726,0.012869618,0.342458931,0.003243078,0,0.316794605,0.123742583,0.243382198
0.042,-0.785078,0.00179447,0,0.251826,0.333746605,0.014554671,0.343209359,0.005082902,0,0.315568406,0.133411636,0.240420186
0.044,-0.78507,0.00244279,0,0.176753,0.333495687,0.016829281,0.343759685,0.006618937,0,0.314189266,0.142526391,0.224184781
0.047,-0.785061,0.00120315,0,0.177095,0.333975463,0.01793686,0.342681285,0.004263982,0,0.312339341,0.149637656,0.220824119
0.049,-0.785054,0.00274945,0,0.177323,0.333377001,0.020453782,0.34400956,0.007621115,0,0.310159719,0.15766445,0.218008517
0.052,-0.785048,0.00294856,0,0.225204,0.33329994,0.02311867,0.344168214,0.008308883,0,0.307721044,0.164094179,0.218559907
0.054,-0.785042,0.00193385,0,0.22543,0.333692661,0.024842769,0.3433302,0.006476196,0,0.305302706,0.169293609,0.216649018
0.056,-0.785037,0.00300259,0,0.253395,0.333279029,0.027495986,0.344210779,0.008902287,0,0.302923612,0.175309377,0.216330885
0.058,-0.785029,0.00192593,0,0.253718,0.333695727,0.029174526,0.343323371,0.006946539,0,0.30069645,0.179692567,0.218571331
0.061,-0.785015,0.00147341,0,0.202621,0.333870865,0.030447447,0.342925733,0.006190557,0,0.298602983,0.184153241,0.222016006
0.063,-0.785008,0.00353301,0,0.226683,0.333073741,0.033479364,0.344617619,0.010639309,0,0.296402542,0.189592267,0.222288033
