time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0.101,-0.785385,0.000165143,0,-0.0703918,0.334377201,0.002404514,0.341693964,0.000579408,0,0.156608635,-0.005219223,-0.092817786
0.104,-0.785391,-0.000755353,0,-0.0229456,-0.334148773,0.001640432,-0.342264784,-0.001337596,0,-0.003511888,-0.006012884,-0.090103304
0.106,-0.785387,0.000406704,0,-0.0466194,0.33428371,0.002043941,0.341930594,0.00102749,0,0.151981661,-0.007288139,-0.086019128
0.108,-0.78539,-0.000747263,0,0.000889659,-0.334151904,0.00128934,-0.342257128,-0.001355457,0,-0.001377043,-0.007903802,-0.068433289
0.11,-0.78539,0.000595903,0,-0.0467078,0.334210484,0.001881563,0.342113023,0.001390641,0,0.147484693,-0.009082675,-0.078487182
0.113,-0.785389,5.28E-05,0,-0.0228502,0.334420681,0.001933887,0.341582494,0.000309935,0,0.144977269,-0.009728926,-0.108784396
0.115,-0.78539,-0.000718937,0,0.000892017,-0.334162867,0.001208271,-0.342230284,-0.001305861,0,0.002199544,-0.010252146,-0.045318216
0.117,-0.785389,0.000237284,0,-0.0228502,0.33434928,0.001444182,0.341765068,0.000630621,0,0.140114589,-0.011146508,-0.04153377
0.119,-0.785389,0.00010546,0,-0.0228385,0.3344003,0.001548912,0.341634857,0.00037756,0,0.137615241,-0.011699292,-0.086115594
0.122,-0.78539,3.12E-05,0,-0.0228738,0.33442904,0.001579881,0.341560959,0.000232193,0,0.134889885,-0.012222758,-0.072858896
0.126,-0.785389,-0.00070531,0,-0.0228757,-0.334168141,0.00086922,-0.34221735,-0.001311715,0,0.007532395,-0.012526609,-0.006973706
0.128,-0.785389,-0.000499075,0,-0.0228626,-0.33424796,0.000368063,-0.342019979,-0.000948965,0,0.008942574,-0.013046523,0.024188068
0.131,-0.785389,-8.60E-05,0,-0.0466661,-0.334407831,0.000281911,-0.34161553,-0.000131291,0,0.010250303,-0.01358712,0.007774146
0.133,-0.785388,-0.000223829,0,-0.0466017,-0.334354488,5.78E-05,-0.341751835,-0.000429347,0,0.011289139,-0.013984736,-0.006758966
0.135,-0.785385,0.000271728,0,-0.0703181,0.334335949,0.000329432,0.341798887,0.000588941,0,0.12483569,-0.014556865,-0.041558402
0.138,-0.785391,-0.00109498,0,0.000897275,-0.334017328,-0.000767278,-0.342581985,-0.002254093,0,0.012782511,-0.014667773,-0.04284447
0.14,-0.785391,-0.000857866,0,0.00090111,-0.334109097,-0.00162199,-0.342361396,-0.001865333,0,0.013637733,-0.015133136,-0.000314676
0.142,-0.785389,-0.00019567,0,-0.022814,-0.334365386,-0.00181614,-0.341724097,-0.000560587,0,0.014492738,-0.015642411,-0.005027728
0.145,-0.785388,3.89E-06,0,-0.0465854,0.33443961,-0.001812216,0.341533683,-0.000161165,0,0.118967635,-0.016000429,-0.049971924
0.147,-0.785389,-0.000740686,0,-0.0228129,-0.334154449,-0.002546476,-0.3422509,-0.00172397,0,0.015752423,-0.016117356,-0.050565294
0.15,-0.785391,-0.000528803,0,-0.022894,-0.334236454,-0.003068836,-0.342048617,-0.001353041,0,0.016322879,-0.016465558,-0.007857973
0.152,-0.785386,0.000507393,0,-0.0703148,0.33424474,-0.002553955,0.342027999,0.000770178,0,0.115028185,-0.01701156,-0.040918423
